"stage","criterion","observed","threshold","verdict","why"
"R0","the boat PE expands the trailer count on the calibration turnover (item 5)","tau_boat_prior_mu resolved to 3.030 from 'calibration (trailer_mean_per_visit, n = 61)' (metric trailer_mean_per_visit)","a number near 3.0 from the overlap calibration, not 1.2","PASS","Until 2026-09-08 the PE expanded on the retired 1.2 while the BSS learned ~2.6 through tau_bar, so the boat PE-vs-BSS gap (3,709 vs 11,118 effort) was two turnovers disagreeing, not two estimators. The PE is the design-based cross-check and now is one."
"R0","the boat turnover prior centre (item 3)","lognormal(log 3.030, 0.50); shared_tau_sigma 0.15","centre 2.7-3.3 (the 61-day overlap gave 3.03 mean-per-visit), sigma 0.5","INFO","The previous prior lognormal(log 1.2, 0.3) sat 3+ prior SDs below the calibration and shrank tau_bar by 13% (posterior 2.60 vs likelihood-only 2.97). Re-centring removes the shrinkage; R2 measures what that does to the boat."
"R0","the crabbing-fraction classification stream exists (item 1)","300 contacts on 107 days, 143 crabbing (share 0.48); by month: 2024-09 0.10 (n=30), 2024-10 0.35 (n=40), 2024-11 0.56 (n=9), 2024-12 0.97 (n=31), 2025-01 0.88 (n=26), 2025-02 1.00 (n=5), 2025-03 0.69 (n=13), 2025-04 0.62 (n=26), 2025-05 0.47 (n=17), 2025-06 0.46 (n=13), 2025-07 0.47 (n=17), 2025-08 0.27 (n=44), 2025-09 0.14 (n=29)","hundreds of contacts, strongly seasonal (0.9+ in winter, ~0.3 in summer)","PASS","These rows were always in the interview workbook and were dropped by the reader's crabbers > 0 filter. They are the f data: R3a and R3 read them."
"R0","the shore turnover at the count hours (item 2; R4 adopts it)","tau_shore 2.477 (peak-based 1.669) over 40 I/E days, bootstrap log-SE 0.044, weekday 2.47 / weekend 2.48","about 2.5 against the 1.7 prior in use","INFO","The shore counts are taken at 9:00-14:00, when presence is ~0.7 of the daily peak, so the peak-based 1.7 under-expands the count. This is the largest single mover in the series (shore x ~1.47) and it ships OFF until R4 shows what it does."
"R0","the commercial CENSUS and the charter EXPANSION, separated (item 4, settled 2026-09-09; the charter corrected 2026-09-11)","total 8,538 = commercial 6,405 (census, census_expansion = 'none': 164 vessel-trips on 47 tally days, 23 unsampled calendar days at zero; per-vessel mean over 141 interviews, SE 123 = 1.9%, not carried) + charter 2,133 (expansion over the roster trip frame, vessel: 34 trips, 20 interviewed = 59%, 1,286 crab observed, SE 73 = 3.4%, CARRIED). Charter alternatives: 2,186 pooled, 1,479 on the tally frame. Baseline 11,821 under the 2026-09-08 day-type expansion of the whole component.","the commercial part is the tally-day sum with no carried error; the charter part is an expansion whose SE enters the port interval","PASS","Matt 2026-09-09: samplers are scheduled on the days the commercial (recreational) vessels are confirmed to be operating, so a window day without a tally is a day with no commercial fishing. Matt 2026-09-11: that census-without-error statement applies to the COMMERCIAL boats only; the charter vessels are not 100% sampled and need expansion. The charter trip roster is the frame, and on 2024-25 a quarter of its sailed trips fell on days the tally never saw."
"R0","the crabbing-holiday calendar gained Thanksgiving Day, Veterans Day (observed) and Juneteenth (2026-09-11)","13 holiday(s) in the window, 9 of them on a weekday (so they re-type a day); day types: 252 weekday, 100 weekend, 13 holiday of 365","three more days per season carry the weekend + holiday effort effects (B1 + B2) in the BSS","READ","The three were added on the samplers' own Holiday? flag and the Float 20 gear count against the same month's weekday mean (Thanksgiving 2.4x, Veterans Day observed 2.3x, Juneteenth 1.7-2.3x). In the PE, an unsampled holiday in a week with no other sampled holiday lands in an EMPTY (week x day-type) stratum, which the shipped pe_empty_effort_stratum = 'zero' expands at ZERO effort: that is why the 2024-25 PE port total falls 0.5% when the three are added. The BSS imputes those days from B1 + B2 and does not have the problem. See CHANGE_REGISTER D19."
"R0","the combo-trip share c is observed from the contacts' trip types (item 1, 2026-09-09)","143 typed crabbing boats, 43 combos (0.30); by month: 2024-09 1.00 (n=3), 2024-10 0.43 (n=14), 2024-11 0.00 (n=5), 2024-12 0.00 (n=30), 2025-01 0.00 (n=23), 2025-02 0.00 (n=5), 2025-03 0.56 (n=9), 2025-04 0.38 (n=16), 2025-05 0.50 (n=8), 2025-06 0.50 (n=6), 2025-07 0.75 (n=8), 2025-08 0.50 (n=12), 2025-09 1.00 (n=4)","none in Dec-Feb, half or more in the salmon and bottomfish months","PASS","c does not move the boat total (f does); it is what OSP's crabbing-only count reads low by, so f(1 - c) is the prediction of that column and the comparison, when OSP delivers it, is the check of the shift-time contacts against an all-day count. In summer more than half the crabbing boats are combos, which is why OSP's column could never have identified f alone."
"R0","which interviews are the f classification: launch sites (shipped) vs launches + docks vs all","2024-09 0.10/0.12/0.12; 2024-10 0.35/0.37/0.37; 2024-11 0.56/0.60/0.60; 2024-12 0.97/0.97/0.98; 2025-01 0.88/0.89/0.93; 2025-02 1.00/1.00/1.00; 2025-03 0.69/0.71/0.75; 2025-04 0.61/0.61/0.63; 2025-05 0.47/0.48/0.50; 2025-06 0.46/0.50/0.53; 2025-07 0.47/0.31/0.31; 2025-08 0.27/0.28/0.29; 2025-09 0.14/0.17/0.17","the summer months differ (docks are finfish-heavy, the marina is crab-only moorage); the protocol decides","READ","Order in each triple: launches / launches+docks / all. The trailer and OSP counts measure boats launched at the ramp. A private boat interviewed at the docks is either a trailered boat that stopped to unload (then it belongs in the classification and excluding it biases f up in summer) or a moored boat (then it is outside the counted population). The marina rows are crab-only moorage boats either way. crab_fraction_contact_areas selects the set."
"R0","sampler shift coverage of the day's boat returns (item 1, shift times)","199 shift days; in port 09:44 to 15:52 (medians), 6.1 h; 75% of a day's boat returns inside the shift (all boat-I/E sites pooled (WBL has 5 days, floor 10)), 15% after the last check-out; crabbing share of typed contacts by hour: 08-10 0.54 (n=28), 10-12 0.42 (n=90), 12-14 0.43 (n=101), 14-16 0.58 (n=79), 16-18 0.50 (n=2)","flat crabbing share across the hours inside the shift; the share of returns outside it is the exposure","INFO","The contacts classify the boats returning during the shift. Inside it the trip-type mix does not drift with the hour (2024-25), which is the evidence available today; the returns outside the shift are unclassified and only OSP's all-day count can say whether their mix differs. shift_coverage_*.csv and contact_hour_by_trip_type.csv carry the detail."
"R0","the PE's unsampled-cell settings, all four arms on the real 2024-25 inputs (D19; the CPUE half found 2026-09-12)","effort zero, CPUE pooled (through 2026-09-11): catch 72,224 (+0.0% vs the retired arm), effort 45,175; effort day_type, CPUE local: catch 81,160 (+12.4% vs the retired arm), effort 53,846; effort local_day_type, CPUE pooled: catch 90,861 (+25.8% vs the retired arm), effort 56,793; effort local_day_type, CPUE local (SHIPPED): catch 85,076 (+17.8% vs the retired arm), effort 56,793","the shipped arm is the one the fitted rungs use; the spread between arms is the size of the D19 question","READ","The 2026-09-11 figure for this was +26% on the PE port total, and it was WRONG in a specific way: it paired a month-local EFFORT fill with a sub-season-pooled CPUE, so the seasonal gradient was counted once in the effort and once more in the rate. The imputed boat cells are in the summer and the pooled boat CPUE is dominated by the high-CPUE winter. Putting both halves on the month scale takes the boat all-gear PE from 42,841 to 37,018 and the port total from 90,861 to 85,076, +17.8% on the retired 72,224. Read the arm spread against R4's BSS, not against 20260904 A1, which predates the derived shore turnover and the boat recentring."
"R0","how much of the PE rests on 0 or 1 sampled days, and what that does to its SE (D21)","shore_ring_net_only: 1 of 24 cells unsampled (1 days) and 10 singleton (19 days) = 26% of days; SE 550 vs 238 on the retired arithmetic; shore_all_gear: 21 of 93 cells unsampled (45 days) and 37 singleton (82 days) = 44% of days; SE 1,379 vs 410 on the retired arithmetic; private_boat_ring_net_only: 6 of 24 cells unsampled (11 days) and 7 singleton (14 days) = 33% of days; SE 79 vs 29 on the retired arithmetic; private_boat_all_gear: 23 of 93 cells unsampled (48 days) and 34 singleton (77 days) = 43% of days; SE 1,310 vs 573 on the retired arithmetic","the SE must widen when half the days rest on one observation or none","PASS","The retired SE was sqrt(N^2 sd^2 / max(n,1)) with sd from the cell's own sampled days, and sd() of ONE observation is NA, replaced by 0. So 37 of 93 shore all-gear cells and 34 of 93 boat cells contributed their full point estimate and no variance, and so did every imputed cell: the shore SE was bit-identical at 410 whether the fill added 0 or 7,947 effort units. This is a PE-side interval, but a gate-failed component reports its PE point in the port total as a CONSTANT, which is the case where it reaches the headline. pe_variance = 'sampled_only' restores the old arithmetic exactly."
"R0","gear shares by trip-level bootstrap (item 6)","boat all-gear, 158 trips: Pot 0.961 [0.913, 0.994]; Ring Net 0.031 [0.003, 0.072]; Trap 0.000 [0.000, 0.000]; Snare 0.000 [0.000, 0.000]; Other 0.009 [0.000, 0.029]","intervals several times wider than the retired Dirichlet on crab counts","INFO","Crab arrive in trips, not one at a time; the Dirichlet(catch + 0.5) treated every crab as an independent draw. The report now applies per-population x sub-season shares."
