"Mode","Month","median","lo95","hi95"
"Shore","2024-09",1276,917,1861
"Shore","2024-10",2576,2037,3317
"Shore","2024-11",2434,1879,3192
"Shore","2024-12",2416,1870,3164
"Shore","2025-01",1424,1078,1928
"Shore","2025-02",761,530,1135
"Shore","2025-03",1164,839,1653
"Shore","2025-04",2281,1658,3262
"Shore","2025-05",2275,1639,3407
"Shore","2025-06",2311,1431,4055
"Shore","2025-07",3054,2072,4788
"Shore","2025-08",3167,2342,4618
"Shore","2025-09",1652,1171,2405
"Private Boat","2024-09",373,72,1583
"Private Boat","2024-10",403,128,1272
"Private Boat","2024-11",177,37,1126
"Private Boat","2024-12",611,217,1438
"Private Boat","2025-01",448,155,1096
"Private Boat","2025-02",102,27,329
"Private Boat","2025-03",341,114,870
"Private Boat","2025-04",630,215,1594
"Private Boat","2025-05",3299,1216,7605
"Private Boat","2025-06",2248,749,5579
"Private Boat","2025-07",8235,2863,19751
"Private Boat","2025-08",11295,4277,24526
"Private Boat","2025-09",2503,825,6615
"Commercial/Charter","2024-09",0,0,0
"Commercial/Charter","2024-10",0,0,0
"Commercial/Charter","2024-11",0,0,0
"Commercial/Charter","2024-12",5991,5468,6568
"Commercial/Charter","2025-01",5092,4647,5582
"Commercial/Charter","2025-02",718,655,787
"Commercial/Charter","2025-03",0,0,0
"Commercial/Charter","2025-04",0,0,0
"Commercial/Charter","2025-05",0,0,0
"Commercial/Charter","2025-06",0,0,0
"Commercial/Charter","2025-07",0,0,0
"Commercial/Charter","2025-08",0,0,0
"Commercial/Charter","2025-09",0,0,0
